MJD "Average Flux ($\m Jy$)" "err ($\m Jy$)" "7 GHz Flux ($\m Jy$)" "7 GHz err ($\m Jy$)" "5 GHz Flux ($\m Jy$)" "5 GHz err ($\m Jy$)"
57425.5066051 1.02034264408 0.0064002682529 1.00511353372 0.0101032890184 1.0348826218 0.011550446245
57437.4575825 1.08965292964 0.00651498732889 1.0863322829 0.00907507536004 1.08487821542 0.010244182808
57452.489273 1.39195346949 0.00729497097237 1.42288083791 0.0132869092285 1.36984107337 0.0129284347518
57465.2263904 1.1417657276 0.00743131734968 1.08707576935 0.0116389513428 1.20766203107 0.0134040225172
57481.1702703 1.12387288786 0.00668739535459 1.14122976052 0.0110785288967 1.09238339028 0.0120531953296
57493.139864 0.920922956513 0.00764517183569 0.954561524753 0.0257367823236 0.898125509673 0.0289290769965
57508.3516304 1.08039008532 0.00757350760167 1.07002506999 0.0112637713423 1.09259961017 0.0103444412854
57522.2617845 1.04591947346 0.00641534456619 1.0312272137 0.0112263899215 1.06482826511 0.0124844118559
57536.1906736 1.0411246284 0.00650335855185 1.05473054484 0.0114050797768 1.02114534558 0.0129588190911
57551.0566277 1.11011177488 0.0077387378788 1.06396483107 0.017752896671 1.14612439509 0.0227018781582
57565.1507689 1.08310605609 0.00811041500356 1.06987802242 0.0138997162847 1.09487630008 0.021327596362
57577.0961242 1.16783134552 0.00745978155531 1.12991360687 0.0129352708853 1.20605962044 0.0133939735742
57606.0368135 1.07814995104 0.00740427539205 1.02791946946 0.0143450038126 1.12199590474 0.0168065097525
57620.0189958 1.38161057989 0.00847554975344 1.35158647349 0.0107935166959 1.42075503223 0.0134184259076
57634.9961049 1.46999464574 0.00871995817982 1.41297261534 0.0155869177678 1.52481113571 0.0122143894499
57648.9652535 1.31890343507 0.00795938990742 1.32761266822 0.0105696971861 1.30729282118 0.011788613368
57682.7214496 1.21539500399 0.00732798537308 1.19345545972 0.010468885906 1.23656397797 0.0124982556335
57704.8248401 1.04412962093 0.00645958171046 0.996630574035 0.00854727125619 1.10670660993 0.00962376094152
57771.5255392 1.60690937743 0.00667159697081 1.48831032517 0.0113141570449 1.78803219923 0.0117545419234
57832.2949365 1.40353702707 0.00670901292154 1.45241063397 0.0104389670073 1.3365713046 0.0113446329434
